event_name,location,city,date,time,event_link
NIJOLĖ NARMONTAITĖ IR ARNAS ŠVILPAUSKAS ''MADINGA PORA'',Compensa koncertų salė,Vilnius,2026-01-03,16:00,https://www.compensakoncertusale.lt/renginiai/nijole-narmontaite-ir-arnas-svilpauskas-madinga-pora-vilnius
D. Klajumas ir J. Jankevičius: „SUDEGINTI TILTAI 2: Imtynės“,Compensa koncertų salė,Vilnius,2026-01-08,19:00,https://www.compensakoncertusale.lt/renginiai/d-klajumas-ir-j-jankevicius-sudeginti-tiltai-2-imtynes
D. Klajumas ir J. Jankevičius: „SUDEGINTI TILTAI 2: Imtynės“,Compensa koncertų salė,Vilnius,2026-01-09,20:00,https://www.compensakoncertusale.lt/renginiai/d-klajumas-ir-j-jankevicius-sudeginti-tiltai-2-imtynes-0
THE GRAND STARS ORCHESTRA ''The Greatest Film Music Show'',Compensa koncertų salė,Vilnius,2026-02-15,19:00,https://www.compensakoncertusale.lt/renginiai/grand-stars-orchestra-greatest-film-music-show
The Cinematic Orchestra - Vilnius The Cinematic Orchestra,Compensa koncertų salė,Vilnius,2026-10-09,20:00,https://www.compensakoncertusale.lt/renginiai/snarky-puppy-somni-world-tour-2026
Teatro komedija UOŠVIS,Compensa koncertų salė,Vilnius,2026-10-16,19:00,https://www.compensakoncertusale.lt/renginiai/teatro-komedija-uosvis-4
Muzikinis spektaklis ''Laisvi drugeliai'',Compensa koncertų salė,Vilnius,2026-10-22,19:00,https://www.compensakoncertusale.lt/renginiai/muzikinis-spektaklis-laisvi-drugeliai-vilnius
Gulbių ežeras,Compensa koncertų salė,Vilnius,2026-11-03,19:00,https://www.compensakoncertusale.lt/renginiai/gulbiu-ezeras-vilnius
The Italian Tenors,Compensa koncertų salė,Vilnius,2026-11-04,20:00,https://www.compensakoncertusale.lt/renginiai/italian-tenors-0
Klasikinis baletas „Gulbių ežeras“,Compensa koncertų salė,Vilnius,2026-11-11,19:00,https://www.compensakoncertusale.lt/renginiai/klasikinis-baletas-gulbiu-ezeras-1
MORTA SMIT. Didysis burleskos šou,Compensa koncertų salė,Vilnius,2026-11-12,20:00,https://www.compensakoncertusale.lt/renginiai/morta-smit-didysis-burleskos-sou
Jessie Ware,Compensa koncertų salė,Vilnius,2026-11-14,19:00,https://www.compensakoncertusale.lt/renginiai/jessie-ware
Alizée ''Moi Lolita'' & Jonathan Dassin su auksiniais tėvo Joe Dassin hitais,Compensa koncertų salė,Vilnius,2026-11-20,19:00,https://www.compensakoncertusale.lt/renginiai/alizee-moi-lolita-jonathan-dassin-su-auksiniais-tevo-joe-dassin-hitais
Future cello & Moosu X: ELEKTRONINĖ SIMFONIJA,Compensa koncertų salė,Vilnius,2026-11-28,19:00,https://www.compensakoncertusale.lt/renginiai/future-cello-moosu-x-elektronine-simfonija
Pelėda Drūlija 3,Compensa koncertų salė,Vilnius,2026-11-29,15:00,https://www.compensakoncertusale.lt/renginiai/peleda-drulija-3
Alice Amazing Circus Show,Compensa koncertų salė,Vilnius,2026-11-30,19:00,https://www.compensakoncertusale.lt/renginiai/alice-amazing-circus-show-vilnius
JodokCello,Compensa koncertų salė,Vilnius,2026-12-05,19:00,https://www.compensakoncertusale.lt/renginiai/jodokcello
Muzikinis spektaklis ''Laisvi drugeliai'',Compensa koncertų salė,Vilnius,2026-12-13,18:00,https://www.compensakoncertusale.lt/renginiai/muzikinis-spektaklis-laisvi-drugeliai-vilnius-0
DOMINO teatras | miuziklas PARYŽIAUS KATEDRA,Compensa koncertų salė,Vilnius,2026-12-15,19:00,https://www.compensakoncertusale.lt/renginiai/domino-teatras-miuziklas-paryziaus-katedra-vilnius-2
