event_name,location,city,date,time,event_link
Arenai 15,Zalgirio Arena,Kaunas,2026-08-12,20:00,https://www.bilietai.lt/renginiai/U7QZDBGMZH/zalgirio-arenai-15
Dr. Mikao Usui Reiki Konferencija,SDG amphitheatre,Kaunas,2026-08-15,10:00,https://www.bilietai.lt/lit/renginiai/kita/dr-mikao-usui-reiki-konferencija-492866/
Lietuvos vyrų krepšinio rinktinės rungtynės: Lietuva – Estija,Zalgirio Arena,Kaunas,2026-08-20,19:30,https://kakava.lt/renginys/lietuvos-vyru-krepsinio-rinktines-kontrolines-rungtynes-lietuva-estija/12254/25444
Miuziklas „MAŽASIS PRINCAS“,Zalgirio Arena,Kaunas,2026-09-12,18:00,https://www.bilietai.lt/lit/renginiai/koncertai/kaunas-miuziklas-mazasis-princas-494978/
Kauno knygų mugė 2026 | 1 diena,Zalgirio Arena,Kaunas,2026-09-18,10:00,https://www.bilietai.lt/renginiai/PPYQU42L4N/dienos-bilietas-kauno-knygu-muge-2026
Kauno knygų mugė 2026 | 2 diena,Zalgirio Arena,Kaunas,2026-09-19,10:00,https://www.bilietai.lt/renginiai/PPYQU42L4N/dienos-bilietas-kauno-knygu-muge-2026
Kauno knygų mugė 2026 | 3 diena,Zalgirio Arena,Kaunas,2026-09-20,10:00,https://www.bilietai.lt/renginiai/PPYQU42L4N/dienos-bilietas-kauno-knygu-muge-2026
A$AP Rocky | Don't Be Dumb World Tour,Zalgirio Arena,Kaunas,2026-09-25,19:30,https://www.bilietai.lt/lit/renginiai/koncertai/aap-rocky-dont-be-dumb-world-tour-492304/
UTMA 19,Zalgirio Arena,Kaunas,2026-09-26,19:00,https://kakava.lt/renginys/utma-19/12066/24951
Zalgiris Kaunas - Olympiacos Piraeus,Zalgirio Arena,Kaunas,2026-09-29,19:44,https://zalgiris.koobin.com/zalgiris-olympiacos-2026-09-29
RINKIS PREKĘ LIETUVIŠKĄ 2026 | 1 diena,Zalgirio Arena,Kaunas,2026-10-09,10:00,https://www.bilietai.lt/renginiai/7RFEHDFRE4/paroda-rinkis-preke-lietuviska-2026
MADOS PASAŽAS 2026 | 1 diena,Zalgirio Arena,Kaunas,2026-10-09,10:00,https://www.bilietai.lt/renginiai/7RFEHDFRE4/paroda-rinkis-preke-lietuviska-2026
RINKIS PREKĘ LIETUVIŠKĄ 2026 | 2 diena,Zalgirio Arena,Kaunas,2026-10-10,10:00,https://www.bilietai.lt/renginiai/7RFEHDFRE4/paroda-rinkis-preke-lietuviska-2026
MADOS PASAŽAS 2026 | 2 diena,Zalgirio Arena,Kaunas,2026-10-10,10:00,https://www.bilietai.lt/renginiai/7RFEHDFRE4/paroda-rinkis-preke-lietuviska-2026
RINKIS PREKĘ LIETUVIŠKĄ 2026 | 3 diena,Zalgirio Arena,Kaunas,2026-10-11,10:00,https://www.bilietai.lt/renginiai/7RFEHDFRE4/paroda-rinkis-preke-lietuviska-2026
MADOS PASAŽAS 2026 | 3 diena,Zalgirio Arena,Kaunas,2026-10-11,10:00,https://www.bilietai.lt/renginiai/7RFEHDFRE4/paroda-rinkis-preke-lietuviska-2026
Zalgiris Kaunas - Anadolu Efes Istanbul,Zalgirio Arena,Kaunas,2026-10-16,19:44,https://zalgiris.koobin.com/zalgiris-anadolu-efes-2026-10-16
PVŠ ROAST OF ARŪNAS VALINSKAS,Zalgirio Arena,Kaunas,2026-10-17,18:00,https://kakava.lt/renginys/pvs-roast-of-arunas-valinskas/11947/24654
Zalgiris Kaunas - ASVEL Villeurbanne,Zalgirio Arena,Kaunas,2026-10-23,19:44,https://zalgiris.koobin.com/zalgiris-asvel-2026-10-23
Zalgiris Kaunas - Partizan Belgrade,Zalgirio Arena,Kaunas,2026-10-30,19:44,https://zalgiris.koobin.com/zalgiris-partizan-2026-10-30
MOTERS PASAULIS 2026 | 1 diena,Zalgirio Arena,Kaunas,2026-11-06,10:00,https://www.parodos.lt/parodos/moters-pasaulis-2026/
MOTERS PASAULIS 2026 | 2 diena,Zalgirio Arena,Kaunas,2026-11-07,10:00,https://www.parodos.lt/parodos/moters-pasaulis-2026/
MOTERS PASAULIS 2026 | 3 diena,Zalgirio Arena,Kaunas,2026-11-08,10:00,https://www.parodos.lt/parodos/moters-pasaulis-2026/
EsDeeKid | Council House Rat Tour,Zalgirio Arena,Kaunas,2026-11-13,20:00,https://www.bilietai.lt/renginiai/2ASUZTR2MC/westlife-25-the-anniversary-world-tour
